gene	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	bridging	average_neighbors	class
BCOR	20.0	9.0	1.0	0.0	194.0	33.0	0.0	4.0	0.0	0.019093703001373183	0.4724290259800439	2.0001732260489644e-05	0.003089419453345377	238	0.3492209198324154	-0.3167	7.311535854747863e-08	1052.277397260274	driver
GBA	0.0	0.0	0.0	0.0	52.0	4.0	0.0	0.0	0.0	0.014058719675668609	0.4737608426270136	2.9325458722162342e-06	0.003263228331247129	210	0.480460769397957	-0.6409999999999999	5.714914793536878e-08	1456.1627906976746	
SEC11A	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.02373634996403584	0.4619264808046637	3.677719127299582e-05	0.0014215500925829465	255	0.6757530097560234	-0.1096	9.039152140433084e-08	601.374655647383	
TTF1	8.0	4.0	3.0	0.0	60.0	6.0	0.0	2.0	0.0	0.06323154384358858	0.4901602564102564	0.0001529620788406685	0.014673521348709626	472	0.34478793990506595	0.0547	1.0889031502430156e-07	1005.6225439503619	
MAPKBP1	6.0	0.0	0.0	0.0	108.0	9.0	0.0	4.0	0.0	0.018505198456810302	0.4800062774639046	1.36548952030221e-05	0.005258887839238007	260	0.4791369069994737	-0.5363	1.0685308034786438e-07	1592.625441696113	
TTC3	14.0	3.0	0.0	0.0	146.0	14.0	0.0	5.0	0.0	0.0077813378669979736	0.4709740999661236	4.0355368374591175e-06	0.0013008266858884285	109	0.3845606039025779	-0.6227	1.1219042282358256e-07	1208.2857142857142	
ARSI	4.0	0.0	0.0	0.0	56.0	4.0	1.0	0.0	0.0	0.0007846727260838293	0.34004091252723795	0.0	1.8966728027883195e-05	12	1.0	-0.2919	0.0	139.41666666666666	
OBSL1	5.0	3.0	1.0	0.0	134.0	9.0	0.0	3.0	0.0	0.05597332112731315	0.4958980511689744	3.99239803672957e-05	0.007847001948506287	396	0.43526534404547207	0.0043	3.918819687218945e-08	1024.6892523364486	
ALDH2	3.0	2.0	0.0	0.0	27.0	2.0	0.0	2.0	0.0	0.00653893938403191	0.4430313740258988	1.7498800037663844e-05	0.00043211570528388257	83	0.3492929292929293	-0.3861	1.9321213468410736e-07	479.9	driver
PPCDC	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0003923363630419145	0.34199521434801083	5.95556311863037e-08	2.082814902203893e-05	6	0.4666666666666667	-0.8891	1.4505257428803825e-07	320.8333333333333	
RAB3B	0.0	0.0	0.0	0.0	19.0	0.0	0.0	1.0	0.0	0.02890211207742104	0.4790289741581832	0.00012191418222681897	0.002408273551341205	252	0.21269020428684293	0.0369	1.8370374664909497e-07	619.5950226244344	
NUDCD2	1.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.028640554502059767	0.4884537992270594	6.941041057662587e-05	0.004077099125067235	270	0.277744689299186	-0.1601	1.1825597995094953e-07	1034.3219178082193	
TAF5L	1.0	0.0	0.0	0.0	54.0	4.0	0.0	0.0	0.0	0.016281959066239457	0.4531259259259259	5.923474345774364e-06	0.002401908022621407	216	0.3864166342790517	-0.403	3.9275871556590646e-08	955.7911646586348	
DPT	0.0	0.0	0.0	0.0	24.0	3.0	0.0	2.0	0.0	0.012489374223500948	0.4727941631113584	4.606048760944066e-05	0.0014546881418278836	155	0.32852025351336456	-0.3823	2.61863537544692e-07	865.3769633507852	
ACADM	2.0	0.0	0.0	0.0	34.0	3.0	0.0	4.0	0.0	0.019093703001373183	0.4734088657751362	3.4200876713987105e-05	0.003375134073236193	243	0.5079790989973167	-0.3603	1.492230814258294e-07	1103.3082191780825	
HERC2	15.0	4.0	4.0	0.0	420.0	31.0	0.0	16.0	0.0	0.03929902569803178	0.484124220456488	5.110398259480201e-05	0.005170119657014184	362	0.34445923460898503	-0.0438	6.086966773033245e-08	898.6339434276207	false_driver
RAX	0.0	1.0	0.0	0.0	25.0	1.0	0.0	2.0	0.0	0.018766756032171584	0.4628491873732635	1.0381595953772045e-05	0.0025887370088791524	225	0.38934236495212105	-0.2923	4.734609530878221e-08	895.3554006968643	
FLVCR1	0.0	1.0	1.0	0.0	33.0	3.0	0.0	3.0	0.0	0.013927940887987971	0.4641415520956629	3.262492331798588e-06	0.0026826576887280604	199	0.4239525201523607	-0.5472	4.4761303843015146e-08	1174.7464788732395	
MRPL32	0.0	0.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0	0.006669718171712549	0.3529588257016248	5.099670179179083e-07	4.2822605644778426e-05	96	0.9285575616385168	-0.1084	5.885601638146241e-09	147.44117647058823	
ARL6	0.0	0.0	0.0	0.0	14.0	1.0	0.0	2.0	0.0	0.0034656378735369122	0.38498137146309536	1.0000190333582538e-05	0.00013483615344405384	47	0.3243831640058055	-0.4899	2.8151046920991503e-07	309.79245283018867	
PTPRD	6.0	1.0	1.0	0.0	423.0	31.0	0.0	14.0	0.0	0.0035310272673772314	0.4058651804670913	9.441130106126056e-06	0.00028710361654653847	45	0.3941299790356394	-0.507	2.916025343033211e-07	559.0555555555555	driver
KIRREL1	5.0	0.0	0.0	0.0	92.0	7.0	0.0	5.0	0.0	0.030798404498790295	0.4794194175365999	2.1748881498639205e-05	0.005805978979713874	354	0.4766770565117224	-0.2479	5.74282329747365e-08	1155.384288747346	
MADCAM1	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.04165304387628327	0.4885318170201891	5.533974853509738e-05	0.006679199879670477	327	0.30459702023044344	-0.0297	6.560797369189063e-08	982.868131868132	
NPHS2	1.0	0.0	0.0	0.0	48.0	6.0	0.0	4.0	0.0	0.020924606028902108	0.4712353249314393	7.294196773575528e-06	0.003919720861777321	298	0.5664576802507837	-0.4197	4.3527169874653574e-08	1192.653125	
MED4	1.0	0.0	1.0	0.0	21.0	1.0	1.0	0.0	0.0	0.039625972667233375	0.4829622611716406	4.654940419374163e-05	0.006515382649996674	359	0.3728172817281728	-0.0351	5.4077320746426474e-08	932.7079207920793	
OR4K1	7.0	1.0	0.0	0.0	123.0	11.0	1.0	0.0	0.0	0.06695873929248676	0.4914203084832905	1.0089389472041699e-05	0.021719932931202952	599	0.766745708088954	-0.0283	9.856620068685018e-09	1208.2490234375	false_driver
IGLL1	1.0	0.0	0.0	0.0	17.0	1.0	0.0	1.0	1.0	0.013993330281828288	0.4419686723310791	1.1656565674416756e-05	0.0015928004874075387	197	0.7048396296783818	-0.418	1.0059248710919342e-07	811.0514018691589	
DIS3L	5.0	0.0	0.0	0.0	65.0	8.0	0.0	4.0	0.0	0.005885045445628719	0.39025697297573175	1.188015929824367e-07	0.0002102129563966444	90	0.936828963795256	-0.5398	4.008309281568821e-09	401.56666666666666	
CAPN3	1.0	0.0	0.0	0.0	64.0	5.0	1.0	6.0	0.0	0.008566010593081803	0.4690528769476138	2.1053813874881185e-05	0.0015957139534669065	112	0.2934820904286553	-0.5045	2.578239399370713e-07	1268.3816793893131	
KCNS2	3.0	0.0	1.0	0.0	81.0	4.0	0.0	0.0	0.0	0.0028117439351337216	0.3705776873122032	7.116469961469475e-07	0.00012806878304060708	42	0.9723145071982281	-0.3211	2.702551120921116e-08	244.44186046511632	
KHDRBS1	1.0	0.0	2.0	0.0	38.0	2.0	0.0	2.0	0.0	0.06395082717583209	0.49916767307504	0.00042570286477700665	0.008570359453228166	371	0.1796283853790557	0.2006	1.6064003767977585e-07	855.7413087934558	
TECRL	2.0	2.0	0.0	0.0	115.0	9.0	0.0	6.0	0.0	0.009285293925325313	0.4560582113142278	2.8067193161617316e-06	0.0009426095386727305	131	0.8327839376685646	-0.4998	4.666864685051962e-08	827.8943661971831	
IFNA4	0.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.057804224154842085	0.4823529411764706	1.870628610403481e-05	0.012360889296014038	472	0.43414572902948095	0.0122	1.7448207790666546e-08	1018.2285067873303	
P2RY11	0.0	0.0	1.0	0.0	14.0	1.0	0.0	0.0	0.0	0.0448571241744589	0.4778614504890167	1.0755423565169791e-05	0.011383935312318558	438	0.6508352663275947	-0.1357	1.833666442061488e-08	1105.572886297376	
CRTC2	6.0	0.0	0.0	0.0	61.0	3.0	0.0	2.0	0.0	0.05322696658601975	0.4961876642548912	7.283664644519884e-05	0.009612561479996295	395	0.268756176505254	0.0476	5.4917918216550745e-08	1013.8366093366092	
ROPN1	1.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0	0.0027463545412934024	0.3989200751252087	9.495095577414577e-06	0.00030999121340328383	32	0.3240418118466899	-0.4895	2.2553772892801762e-07	593.452380952381	
MTHFD1L	3.0	0.0	0.0	0.0	67.0	7.0	0.0	2.0	0.0	0.0003923363630419145	0.37467231790675454	6.61769729417624e-10	6.259128087111129e-05	6	0.8666666666666667	-0.7917	5.841320643451148e-10	1113.5	
GMEB1	0.0	0.0	0.0	0.0	42.0	2.0	0.0	2.0	0.0	0.023147845419472964	0.4776972574498657	2.078511027397909e-05	0.004212509012974066	266	0.33010035050655395	-0.2695	6.900135848147772e-08	1125.1666666666667	
CARD6	3.0	4.0	0.0	0.0	123.0	7.0	0.0	1.0	0.0	0.08886418622899367	0.5114031567683253	0.00010229430234292588	0.017063797439749253	396	0.28915938146497305	0.1891	3.9547816634266826e-08	1123.1810154525383	
CRYAB	0.0	0.0	0.0	0.0	14.0	2.0	0.0	1.0	0.0	0.05564637415811157	0.4939918599392726	0.0003739020858484527	0.011131613825699662	401	0.3133448538052119	0.0511	1.6762450932991493e-07	1019.813160987074	
RHBDL1	0.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0	0.0009154515137644676	0.4082379007501135	1.5490962945500646e-07	0.00018569691360273609	14	0.42857142857142855	-0.8966	1.838145757290925e-07	1256.642857142857	
GNG2	2.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.15510364218923692	0.5190049548632322	0.0009045385130675439	0.030091203740024608	599	0.2150198114797764	0.5357	6.242090791233518e-08	788.3229342327148	
SIGLECL1	1.0	0.0	0.0	0.0	44.0	1.0	0.0	1.0	0.0	0.004708036356502975	0.43599612270498345	1.591810848197362e-06	0.0006534535223262531	71	0.6490610328638498	-0.6826	9.158486248973584e-08	961.9027777777776	
MCM6	3.0	0.0	0.0	0.0	68.0	5.0	1.0	4.0	0.0	0.02347479238867456	0.4605770389109746	2.6064994899217067e-05	0.0020639557736888453	241	0.3118065389583106	-0.0776	5.551603512147119e-08	664.1030640668523	
PIANP	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0003923363630419145	0.358763225185915	0.0	4.2926528294426755e-05	6	1.0	-0.7903	0.0	673.1666666666666	
PNPLA2	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.017916693912247438	0.4758393229409752	8.036871755841991e-05	0.0015309652443082436	184	0.27138311809844656	-0.1483	2.3182785365142797e-07	592.3175182481751	
PPP1R11	0.0	0.0	0.0	0.0	8.0	1.0	0.0	2.0	0.0	0.028967501471261363	0.4840169641726801	2.675847858398232e-05	0.004636836705006006	299	0.2666312574691276	-0.2352	7.593685325680347e-08	1032.0248306997744	
ZNF418	2.0	0.0	0.0	0.0	78.0	6.0	0.0	0.0	0.0	0.053750081736742304	0.4935454721487123	4.835769430573281e-06	0.013302032119818908	472	0.7360971576411177	-0.1224	6.97525228684772e-09	1253.3467153284669	
MMRN1	7.0	0.0	0.0	0.0	161.0	18.0	0.0	0.0	1.0	0.003400248479696593	0.3896901437162369	1.783597284932867e-06	0.00013050144141184793	51	0.5746606334841629	-0.6562	1.4374046062342545e-07	406.5961538461538	
F2	2.0	1.0	0.0	0.0	67.0	4.0	0.0	2.0	1.0	0.07402079382724122	0.4833133177422413	0.00042880284993125417	0.017103089783741386	551	0.3731273803163653	0.2121	1.28844158213651e-07	848.267667844523	
RAB39A	0.0	1.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.01379716210030733	0.4218758620689655	1.788598989734537e-05	0.0005026735634816934	145	0.4373730534867976	-0.1762	1.0241062445143783e-07	404.6872037914692	
PDIA2	2.0	0.0	0.0	0.0	38.0	3.0	0.0	1.0	0.0	0.016478127247760415	0.4844002407272497	2.5431570435397283e-05	0.0038248535982700576	212	0.32242458736482643	-0.4778	1.5632399787752093e-07	1468.1984126984128	
SYNE3	3.0	1.0	0.0	0.0	101.0	10.0	0.0	2.0	0.0	0.005034983325704571	0.4273458894539764	4.966570869965386e-06	0.0004128892553031391	72	0.2573479152426521	-0.6152	1.9187515355473105e-07	667.2467532467532	
IFT22	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.007977506048518929	0.41067160772308603	4.079075763519492e-06	0.00040793373403183767	102	0.6650860317030213	-0.3934	5.494047231898358e-08	495.09016393442624	
ATP6V1E1	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	0.0	0.012358595435820309	0.44929196780069336	1.8696053397013863e-05	0.001262952295988193	133	0.3828098615332658	-0.2447	1.1455488585050185e-07	600.984126984127	
RAPH1	2.0	2.0	0.0	0.0	80.0	3.0	0.0	2.0	0.0	0.05231151507225528	0.5008187057898873	8.369863496358793e-05	0.009933184454076436	387	0.28528160200250313	-0.0237	7.675024951891969e-08	1144.4	
H3F3A	0.0	0.0	0.0	0.0	23.0	2.0	0.0	0.0	0.0	0.005558098476427124	0.43098297824371545	9.17464894505123e-06	0.0007799037963853791	79	0.3809523809523809	-0.6111	2.072822814026661e-07	826.9764705882353	driver
PAPSS2	3.0	2.0	0.0	0.0	50.0	4.0	0.0	2.0	0.0	0.003204080298175636	0.4395677042913397	1.0089527382589801e-07	0.0008379784028365884	49	0.4634353741496599	-0.8819	3.117754181095593e-08	1570.7142857142858	
CBR3	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.003334859085856275	0.4233473590964456	0.00012173935198424247	0.0001890473296605079	32	0.323921568627451	-0.3978	4.111668615145502e-06	466.47058823529403	
NANOS1	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.007192833322435101	0.4555419856423699	2.8316796819646558e-05	0.0008772734008020839	93	0.25521267723102586	-0.4622	3.709712625750985e-07	799.5545454545454	
MTA3	1.0	1.0	0.0	0.0	32.0	4.0	0.0	0.0	0.0	0.061204472634538674	0.4964776158166413	0.00010913126651837747	0.009891002036465054	395	0.2287467434526258	0.1299	6.519446752260642e-08	943.7061965811964	
NLRC3	2.0	0.0	0.0	0.0	108.0	1.0	0.0	2.0	0.0	0.015039560583273394	0.4728818800247372	5.0032833804682494e-06	0.0028240203277945853	210	0.3685209796848301	-0.5253	5.565286103739196e-08	1324.7	
APOC3	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.01968220754593605	0.4691104294478528	3.118433960717675e-05	0.003106696748824393	212	0.32806201550387604	-0.1781	9.432049017320855e-08	933.0265780730896	
CCBE1	1.0	0.0	0.0	0.0	69.0	4.0	0.0	2.0	0.0	0.0008500621199241484	0.3624534875453274	1.1073622090963088e-07	7.656945210626503e-05	13	0.8589743589743589	-0.8966	1.4541457538300143e-07	692.0769230769231	
SHC3	0.0	2.0	0.0	0.0	60.0	3.0	0.0	1.0	0.0	0.08579088471849866	0.5048027727347747	0.00011374653371736154	0.016161130477768813	472	0.2869772190284832	0.2542	3.6910657974606636e-08	943.7225609756098	
PDE5A	2.0	1.0	0.0	0.0	56.0	3.0	1.0	6.0	0.0	0.0729091741319558	0.5081743869209809	0.00020279061443894832	0.014077788238396775	396	0.22723430292003124	0.135	9.467084274577775e-08	1090.5452914798207	
BCL2L1	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.10429608317530896	0.5134636046199301	0.000498341530245382	0.017904237345237228	472	0.18847795219534064	0.3852	7.523641346584986e-08	845.9272727272728	
LTK	3.0	1.0	0.0	0.0	57.0	4.0	0.0	3.0	0.0	0.048322762047995814	0.493672929175544	8.467890236224774e-05	0.009427289781445532	381	0.33961516881745274	-0.0537	7.933663008089832e-08	1121.1326116373475	
MAD2L2	1.0	0.0	0.0	0.0	11.0	0.0	0.0	1.0	0.0	0.05106911658928922	0.4880017869678984	8.623520986761935e-05	0.007335189766484049	395	0.31180275123937096	0.0006	7.305571043909789e-08	987.3124199743918	
FAF1	2.0	1.0	1.0	0.0	47.0	6.0	0.0	2.0	0.0	0.02654809389916956	0.485122446390052	2.9210282900473738e-05	0.004972251092041968	297	0.28823207443897103	-0.2526	8.206507713305412e-08	1207.9852216748768	
