gene	kcore
GNG2	599
ARHGAP35	330
ACTA1	334
ACTC1	282
ACTG2	273
CDH1	389
HTT	386
JUP	396
NECTIN1	269
OCLN	283
TNFAIP8	298
VCL	315
ACTBL2	298
ARHGAP10	298
CENPA	347
CHN1	298
CHN2	320
DMD	247
DVL1	396
FMNL1	354
FMNL2	365
GSK3B	539
NCKIPSD	340
POTEKP	298
RPS27	313
SRGAP2	323
SYDE1	295
SYDE2	298
WHAMM	330
WIPF2	317
WIPF3	317
YWHAE	396
YWHAH	396
GRIN1	539
GRIN2B	539
MYBPC3	93
CAPZB	272
IQGAP3	352
PRKCE	599
MAGI1	230
NF2	224
PIK3CA	599
CALM3	539
DLG4	386
GRIN2A	539
ITGB3BP	355
MPP5	82
RASGRF1	599
RASGRF2	599
CENPE	299
KIF18A	298
KIF2A	289
KIF2B	289
KIF2C	289
KIF5A	265
KLC1	298
KLC2	317
RACGAP1	321
B9D2	289
CKAP5	292
FBF1	289
NDE1	323
PLK1	396
SEPTIN2	269
TUBA1A	299
TUBA4A	323
ZW10	289
RAP1B	539
FKBP1A	283
MAPK13	599
PAK1	396
SMAD7	396
TGFB1	461
TGFBR1	383
SMURF1	396
CDH5	334
TGFBR2	396
ARHGDIB	477
ROCK1	354
BDNF	395
PRKCI	472
PRKCZ	472
ARHGAP5	298
VEGFA	472
HGF	396
CSNK1A1	539
GNAO1	599
GNAZ	428
STK11	365
GNA13	396
F2	551
CAV2	336
CDK4	405
CLDN1	110
F11R	382
NECTIN2	210
NECTIN3	275
NECTIN4	109
DEPDC1B	268
PIK3CB	599
PIK3CD	599
PIK3R2	599
PIK3R3	599
YWHAB	396
ARHGEF7	389
DAG1	221
LAMA3	286
LAMA5	271
LAMC1	277
LAMC2	300
MUSK	230
PAK3	339
PAK5	276
PAK6	365
CTSG	183
AHCTF1	289
BUB1	365
BUB1B	396
BUB3	374
CDC20	379
CENPC	289
CENPF	289
CENPH	289
CENPI	289
CENPK	289
CENPL	289
CENPM	289
CENPN	289
CENPO	289
CENPP	289
CENPQ	289
CENPS	331
CENPT	289
CENPU	289
CLIP1	289
DIAPH2	289
DSN1	289
ERCC6L	289
KNL1	289
KNTC1	289
