gene	average_neighbors
CXCL12	955.9221260815822
GNAI1	827.651728553137
GNAI2	796.5188001689903
GNAI3	829.2558967512239
GNB1	778.8229445506693
GNG2	788.322934232715
ARHGAP35	930.3062913907285
ACTA1	620.3313180169287
ACTC1	537.207100591716
ACTG2	552.2979214780601
CDH1	638.394306049822
HTT	658.9893917963225
JUP	754.4111192392099
NECTIN1	897.9222797927462
OCLN	966.4027149321267
TNFAIP8	687.9838337182448
VCL	557.1656804733727
ACTBL2	560.4828614008942
ARHGAP10	952.4705882352941
CENPA	645.9061224489795
CHN1	819.5
CHN2	890.5600649350649
DMD	605.1854636591479
DVL1	749.0056457304164
FMNL1	931.7218225419664
FMNL2	915.776923076923
GSK3B	749.9416803953872
NCKIPSD	825.1739130434783
POTEKP	542.1371994342292
RPS27	556.9055837563452
SRGAP2	837.914156626506
SYDE1	791.8861111111111
SYDE2	900.1962864721486
WHAMM	817.6379585326954
WIPF2	980.9975369458128
WIPF3	986.5411471321696
YWHAE	616.5896892655368
YWHAH	681.2434002111933
GRIN1	816.2940785096474
GRIN2B	814.4270486342439
MYBPC3	388.6949152542373
CAPZB	515.490538573508
IQGAP3	1072.2965616045844
PRKCE	863.573828125
MAGI1	1079.2225913621262
NF2	724.4691358024692
PIK3CA	756.7773269084454
CALM3	773.6515472657906
DLG4	695.1652323580034
GRIN2A	862.6037099494098
ITGB3BP	729.9668571428572
MPP5	763.7934782608696
RASGRF1	949.4968404423381
RASGRF2	920.8122513922036
CENPE	568.2034805890228
KIF18A	621.9010043041607
KIF2A	555.034188034188
KIF2B	570.7570977917981
KIF2C	554.6192052980133
KIF5A	593.047817047817
KLC1	596.1773940345369
KLC2	703.1844802342606
RACGAP1	630.2183353437877
B9D2	568.124054462935
CKAP5	586.1374819102749
FBF1	572.1918238993711
NDE1	615.7884828349945
PLK1	671.8682869462956
SEPTIN2	650.84008097166
TUBA1A	595.2141882673943
TUBA4A	582.5502824858758
ZW10	562.1296625222025
RAP1B	927.2159624413146
FKBP1A	764.4309623430962
MAPK13	868.3984915147706
PAK1	702.4513319672132
SMAD7	836.7078925956062
TGFB1	757.7017688194159
