gene	bridging
ACOT7	3.0315556818973763e-06
ACOT7L	0.0
ACOT8	2.808170770442857e-07
ACOT9	5.2111661316099353e-08
ACOX1	1.713787863393108e-07
ACOX2	1.298237091604421e-07
ACOX3	1.513696917702099e-07
ACP1	7.431293714496923e-08
ACP5	1.1203987159925201e-07
ACP6	1.93172905049657e-07
ACPP	2.432400878359143e-07
ACR	1.8493080603173865e-06
ACRV1	1.9593617056420113e-07
ACSBG1	1.1776617681593207e-08
ACSBG2	1.1776617681593207e-08
ACSL1	1.1776617681593207e-08
ACSL3	8.658579215930603e-08
ACSL4	1.1776617681593207e-08
ACSL5	1.1776617681593207e-08
ACSL6	3.063607103912492e-08
ACSM3	9.508559317167093e-08
ACSS1	7.140561009385236e-08
ACSS2	2.567114900686458e-07
ACTA1	1.2070897573712496e-07
ACTA2	1.0985721566123253e-07
ACTB	1.52409387903377e-07
ACTBL2	4.451884968084803e-08
ACTC1	9.291755712365663e-08
ACTG1	1.1448536066283406e-07
ACTG2	8.573625582780163e-08
ACTL6A	7.219927281692957e-08
ACTL6B	8.97285062870671e-08
ACTL7A	4.204977763223256e-09
ACTN1	1.2991468473723172e-07
ACTN2	1.397277938919337e-07
ACTN3	6.879504385960931e-08
ACTN4	9.597692823005102e-08
ACTR10	9.207193421508723e-08
ACTR1A	8.086193269834041e-08
ACTR1B	1.457300896409601e-07
ACTR2	9.787058520860457e-08
ACTR3	9.413535942432182e-08
ACTR3B	5.9222055786590106e-08
ACTR3C	6.944304309946825e-08
ACTR5	2.4672137351209643e-08
ACTR6	3.289562527409349e-08
ACTR8	9.879784096106329e-08
ACVR1	9.615592698819962e-08
ACVR1B	1.1610371420973409e-07
ACVR1C	2.6918645431031016e-08
ACVR2A	4.367685816698694e-08
ACVR2B	5.6656596589693306e-08
ACVRL1	7.8694155381945e-08
ACY1	2.4390931906471685e-07
ADA	1.4223781251027437e-07
ADA2	9.497064401144108e-08
ADAM10	1.259130131229738e-07
ADAM11	3.5245890363857323e-07
ADAM12	6.757097495143185e-08
ADAM15	1.1752959503820052e-07
ADAM17	8.644412855733159e-08
ADAM19	1.5014012167525645e-07
ADAM2	8.580508680671133e-07
ADAM20	9.031966402435793e-08
ADAM21	9.031966402435793e-08
ADAM22	1.7030640385510363e-07
ADAM23	2.0322889886733304e-07
ADAM28	7.543678508841612e-08
ADAM30	9.031966402435793e-08
ADAM33	1.5956180156463084e-08
ADAM3B	0.0
ADAM8	3.846080634766139e-08
ADAM9	1.0997983259640632e-07
ADAMTS1	2.848326578311332e-07
ADAMTS13	5.009065790916231e-07
ADAMTS14	5.461220072934899e-08
ADAMTS16	3.147280759370247e-08
ADAMTS2	5.461220072934898e-08
ADAMTS3	1.1446144110334392e-07
ADAMTS4	2.5589173073036567e-07
ADAMTS5	4.538637794642249e-07
ADAMTS7	6.948998418795501e-10
ADAMTS8	3.315430881306232e-08
ADAMTS9	0.0
ADAMTSL1	8.686752456444375e-08
ADAMTSL2	1.3733105800332053e-07
ADAMTSL4	3.4457397243103964e-07
ADAP1	1.140384784648353e-07
ADAP2	5.1084686889936804e-08
ADAR	3.421215260547313e-08
ADARB1	2.2163147696935267e-07
ADCK1	3.7588002519472905e-08
ADCK2	5.772215051374512e-08
ADCY1	2.6091906648962365e-08
ADCY10	1.9138962029678934e-08
ADCY2	1.9379893565150025e-08
ADCY3	4.414327228100619e-08
ADCY4	1.915957490159037e-08
ADCY5	3.1662202269437674e-08
ADCY6	1.088591813862327e-07
ADCY7	3.488283184306902e-08
ADCY8	4.4523805461741776e-08
ADCY9	2.5476630617699834e-08
ADCYAP1	8.105263330408758e-08
ADCYAP1R1	3.0369009617263784e-08
ADD1	5.639915188326544e-08
ADD2	9.574401231878987e-08
ADD3	1.302466039235747e-07
ADGRA2	3.0569039983638454e-08
ADGRB1	1.5992653873800993e-07
ADGRB3	2.448799638076543e-07
ADGRD2	5.181714923814095e-08
ADGRF1	2.8764987500573095e-08
ADGRF5	9.801017587825858e-08
ADGRG1	8.378715717892877e-08
ADGRG5	5.057025324852165e-08
ADGRL3	1.2413541946255072e-08
ADGRV1	3.368696275642592e-07
ADH1A	1.7514183209583797e-08
ADH1B	1.7514183209583797e-08
ADH1C	1.7514183209583797e-08
ADH4	1.7514183209583797e-08
ADH5	2.5677261228474837e-06
ADH6	1.1651241064815906e-06
ADH7	4.4810869473242704e-07
ADI1	1.129348322213916e-08
ADIPOQ	4.3828862218048374e-08
ADIPOR1	4.74615848947366e-08
ADIPOR2	4.5895798867295145e-08
ADIRF	2.7941384680017e-08
ADM	9.437728115268012e-08
ADM2	8.629874463797625e-09
ADNP	2.6758327373505027e-08
ADNP2	5.538578263553807e-08
ADORA1	3.4057941022102144e-08
ADORA2A	4.513397939433093e-08
ADORA2B	2.525734990971485e-08
ADORA3	1.4050296857886533e-08
ADPGK	1.0343223839763072e-07
ADPRH	1.2506504993556898e-08
ADPRHL2	6.550859145546038e-08
ADRA1A	4.1218803222262187e-08
ADRA1B	3.376645244033404e-08
ADRA1D	2.8292745084555274e-08
ADRA2A	3.127068211273887e-08
ADRA2B	4.4949059142654434e-08
ADRA2C	4.795906230164719e-08
ADRB1	5.387929150986566e-08
ADRB2	6.805885471468042e-08
ADRB3	4.633391612665492e-08
ADRBK1	8.509235845747195e-08
ADRBK2	6.028914117985007e-08
ADRM1	1.7783597949777192e-07
ADSL	1.2083270732170854e-07
ADSS	2.0265912902124648e-07
ADSS1	9.752311446498616e-08
ADSS2	1.777221520252673e-07
ADTRP	3.378933568708809e-08
AEBP1	2.9369381365357503e-08
AEBP2	8.398095643654902e-08
AES	1.56155647655298e-07
AFAP1	8.12173376706042e-08
AFAP1L2	5.34119026950389e-08
AFDN	5.7996270400237426e-08
AFF1	5.3517158956392616e-08
AFF4	4.89010675549785e-08
AFG1L	5.378294514595489e-07
AFG3L2	5.539362836973861e-07
AFP	1.5795403017920082e-07
AFTPH	1.1201951234261911e-08
AGA	1.064589549764986e-07
AGAP1	1.1527523761566012e-07
AGAP2	5.475244830569747e-08
AGBL5	1.561498540154253e-08
AGER	6.242591557886944e-08
AGFG1	3.933910441592366e-08
AGFG2	3.3357406185485e-08
AGGF1	1.9650276084393106e-07
AGK	1.3074033362324119e-07
AGL	9.063327935840682e-08
AGO1	3.5123828273327714e-08
AGO2	9.498230595174642e-08
AGO3	2.258892800328482e-08
AGO4	2.15051042131826e-07
AGPAT1	9.88489712131802e-07
AGPAT2	4.991729347502674e-07
AGPAT3	0.0
AGPAT5	3.384870456866604e-08
AGPAT6	4.0959939767542374e-08
AGPS	9.920719392431779e-09
AGR2	9.767305752075461e-08
AGR3	1.475796236428929e-07
AGRN	1.4627905288895198e-07
AGRP	1.1506103708151141e-07
AGT	8.371770191499797e-08
AGTPBP1	1.41905448385633e-07
AGTR1	7.581052632050001e-08
AGTR2	5.851512353157873e-08
AGTRAP	1.5049676412977457e-07
AGXT	2.4247365797528544e-07
AHCTF1	2.3642753588156732e-08
AHCY	4.5763567111149374e-08
AHCYL1	3.155082556213519e-07
AHCYL2	1.3752644773843347e-07
AHDC1	8.591586946347996e-09
AHI1	7.233043078750782e-08
AHNAK	1.4663333137281459e-07
AHNAK2	8.699400957472333e-08
AHR	8.267421949897872e-08
AHRR	2.650391677707066e-08
AHSA1	9.808389035926198e-08
AHSA2	6.358238824491866e-08
AHSG	1.2899291393493522e-07
AHSP	2.1175360761191358e-07
AICDA	1.9696180601876869e-07
AIDA	9.885311623953086e-08
AIF1	1.5097977338337348e-07
AIF1L	5.569183267251706e-08
AIFM1	1.9092232213822527e-07
AIFM2	4.797310652090705e-08
AIM2	1.7335350350424576e-08
AIMP1	1.206990833927971e-07
AIMP2	1.732881312327588e-07
AIP	4.273366223832467e-07
AIPL1	1.0800217166975736e-07
AIRE	5.238152330879645e-08
AJAP1	1.2389921270127935e-07
AJUBA	1.0869708107034238e-07
AK1	9.250731615396419e-08
AK2	1.8674798770159155e-07
AK5	1.6716896187874403e-07
AK6	1.8134564486477313e-08
AKAP1	9.826483996702349e-08
AKAP10	8.907018211404695e-08
AKAP11	3.9483297855083325e-07
AKAP12	1.071038955549173e-07
AKAP13	7.14349810878047e-08
AKAP14	7.897915579570773e-08
AKAP17A	9.961121328527052e-08
AKAP2	6.522837399365239e-08
AKAP3	1.5633272061757142e-07
AKAP4	1.5642127855502654e-07
AKAP5	4.226133260621853e-08
AKAP6	9.678553396262251e-08
AKAP7	1.4820192277679036e-07
AKAP8	1.1076056930830131e-07
AKAP8L	7.078915563652364e-08
AKAP9	1.0038625779929575e-07
AKD1	1.3146819780786729e-08
AKIP1	3.792721808600868e-08
AKIRIN2	1.8675168993287173e-07
AKNA	7.177013418760302e-08
AKNAD1	3.4114342307967164e-08
AKR1A1	4.4733430407611146e-08
AKR1B1	1.2384037318450205e-07
AKR1B10	5.807219012713574e-07
AKR1C1	2.347289291552752e-06
AKR1C2	9.203412602291403e-07
AKR1C3	1.8276531786740033e-07
AKR1C4	4.252743993679931e-11
AKR1D1	2.8092051812308165e-07
AKR1E2	2.475174973553389e-07
AKR7A2	3.088750722315172e-06
AKR7A3	2.781386466856709e-06
AKT1	9.785461714225102e-08
AKT1S1	7.579659947843171e-08
AKT2	6.024277273333638e-08
AKT3	4.711509799876039e-08
AKTIP	2.584319477274934e-07
ALAD	6.37987598156948e-08
ALAS1	1.9363601644060638e-07
ALAS2	1.0071585221694104e-07
ALB	2.1903731642787047e-07
ALCAM	7.297888532696277e-08
ALD	9.466197803448021e-08
ALDH1A1	7.996004766719995e-08
ALDH1A2	2.4701832246505793e-08
ALDH1A3	2.1674271868834667e-06
ALDH2	1.932121346841074e-07
ALDH3A1	3.7053460416935925e-06
ALDH3A2	3.0298672552816307e-07
ALDH3B1	4.6316498347399847e-07
ALDH3B2	6.678480777424063e-07
ALDH4A1	5.942921916623797e-08
ALDH5A1	6.293366296667034e-07
ALDH7A1	4.4352798941891137e-08
ALDOA	1.3025936876624423e-07
ALDOB	9.994534753317946e-08
ALDOC	1.6312569148790116e-07
ALG1	1.7550208096851274e-06
ALG10	4.5311540861354e-07
ALG10B	1.3963479502784755e-09
ALG11	0.0
ALG12	0.0
ALG13	1.148273345300825e-06
ALG14	0.0
ALG2	7.055043709267679e-06
ALG3	0.0
ALG9	9.844321857333072e-06
ALK	7.574859108343912e-08
ALKAL1	3.022101467738195e-09
ALKBH1	1.0801325441708446e-07
ALKBH3	0.0
ALKBH8	2.824185077085381e-07
ALMS1	6.245308825219993e-08
ALOX12	1.623769160683179e-07
ALOX12B	1.5668796558230562e-07
ALOX15	6.845105544486026e-08
ALOX15B	9.572810255540142e-08
ALOX5	5.78699169728498e-08
ALOX5AP	6.900389829909787e-08
ALOXE3	2.392765635697182e-08
ALPG	3.2302362532428986e-07
ALPI	2.971421080376508e-07
ALPK1	5.3301920062699196e-08
ALPK3	9.306576914580521e-08
ALPL	4.03600042507877e-07
ALPP	4.491163876175999e-06
ALPPL2	0.0
ALS2	1.7247922681314048e-07
ALS2CL	4.306953323872075e-08
ALS2CR11	8.828335830694888e-08
ALS2CR12	0.0
ALS2CR14	7.135041869775592e-08
ALS2CR8	1.004857090957372e-07
ALX1	5.653464713879915e-08
ALX3	7.961850930876304e-09
ALX4	4.241837451733088e-08
ALYREF	2.225775596504841e-08
AMACR	8.309658122864946e-12
AMBN	9.353334113729137e-09
AMBP	1.4905094656732117e-07
AMBRA1	7.507848352921516e-08
AMD1	2.2015476538404782e-08
AMDHD2	2.3927098525176596e-07
AMELX	2.0348078214728582e-07
AMELY	6.752468676650361e-08
AMER1	3.784501165774273e-08
AMER2	5.0497952139982966e-08
AMER3	2.8626280261186326e-08
AMFR	4.9614581080434044e-08
AMH	9.671423515387822e-08
AMHR2	5.539231152355797e-08
AMIGO1	1.3621276052427987e-06
AMIGO2	0.0
AMIGO3	0.0
AMN	2.661680230467708e-07
AMOT	1.6641259877140714e-07
AMOTL1	7.877186760378513e-08
AMOTL2	2.6747292004720557e-07
AMPD1	9.892977968230261e-08
AMPD3	9.407845424070341e-08
AMPH	4.9246655803464785e-08
AMT	7.85217934224353e-09
AMTN	9.353334113729135e-09
AMY1A	1.7361636296868403e-06
AMY2A	0.0
ANAPC1	2.2668843920111432e-08
ANAPC10	4.029267902508528e-08
ANAPC11	2.342082884180022e-08
ANAPC13	2.748160463759414e-08
ANAPC15	1.850140687641858e-08
ANAPC16	1.8912796852322906e-08
ANAPC2	3.3824982666828376e-08
ANAPC4	2.025635117835965e-08
ANAPC5	5.758401087558247e-08
ANAPC7	2.2806916285279952e-08
ANG	6.466847472208919e-08
ANGPT1	3.304134529981012e-08
ANGPT2	4.207469440822097e-08
ANGPT4	2.645966188688946e-08
ANGPTL1	1.2790598577282348e-08
ANGPTL3	9.354393749202638e-08
ANGPTL4	5.4989094467394084e-08
ANGPTL7	3.411434230796718e-08
ANGPTL8	4.6201563510928e-08
ANK1	1.5887924105576778e-07
ANK2	1.652301328003692e-07
ANK3	1.7185372645231455e-07
ANKFY1	1.2066130706802492e-07
ANKH	3.0836695831420435e-08
ANKHD1	1.6861680392538514e-07
ANKLE2	1.1952871725939488e-07
ANKRA2	1.2624824930424016e-07
ANKRD1	8.236378771645377e-08
ANKRD11	3.798758347063585e-08
ANKRD12	7.829966274745976e-08
ANKRD13A	3.199148984927866e-08
ANKRD13B	8.796351669526653e-08
ANKRD13D	1.5956180156463084e-08
ANKRD17	8.798696734977227e-08
ANKRD2	1.2317915805351693e-07
ANKRD23	4.592279273836825e-08
ANKRD26	2.554362846389275e-07
ANKRD27	1.6478274507741302e-07
ANKRD28	4.048927371398948e-08
ANKRD44	6.488713775550115e-08
ANKRD49	2.8151850658689776e-08
ANKRD50	1.256425816887864e-07
ANKRD53	1.2278290987566006e-08
ANKRD54	2.3246700688809687e-07
ANKRD6	4.355036235437138e-08
ANKRD7	2.5516277068558397e-08
ANKRD9	8.161458339112934e-09
ANKS1A	4.8812286662450425e-08
ANKS1B	1.264910292120369e-07
ANKS3	2.783655104101576e-07
ANKS4B	2.5474408817990294e-07
ANKS6	0.0
ANKZF1	1.5409660875954896e-07
ANLN	1.847300350129973e-07
ANO1	3.433635868089627e-06
ANO10	0.0
ANO2	1.3600891403634276e-06
ANO3	0.0
ANO4	0.0
ANO5	0.0
ANO6	3.033541339437715e-07
ANO7	0.0
ANO8	1.1024850384204872e-06
ANO9	0.0
ANOS1	1.228661403132832e-08
ANP32A	1.3016620559511508e-07
ANP32B	7.792199478376838e-08
ANP32C	6.375786522144137e-08
ANP32D	3.276555555725147e-08
ANP32E	2.3273376729406637e-08
ANPEP	5.0129014766768995e-08
ANTXR1	1.3965576127750694e-07
ANTXR2	2.1329653540275492e-07
ANXA1	7.389760886388546e-08
ANXA11	2.981125069539539e-07
ANXA13	6.512897455745139e-08
ANXA2	9.302151335087002e-08
ANXA2P2	1.172333350815315e-07
ANXA3	8.047462712929785e-08
ANXA4	4.48089023006075e-06
ANXA5	2.0774401197839415e-07
ANXA6	4.285761499064786e-07
ANXA7	2.8234917596588634e-07
ANXA9	1.1632900331180804e-07
AOC1	0.0
AOC2	3.628733152523718e-07
AOC3	1.4030961665251977e-07
AOPEP	5.7410593130622694e-08
AOX1	8.420814236522195e-08
AP1AR	4.8930180040983226e-08
AP1B1	1.7766819016265913e-07
AP1G1	1.607090430411586e-07
AP1G2	1.0695038463656383e-07
AP1M1	1.9128467230181055e-07
AP1M2	8.572367405379759e-08
AP1S1	7.684310908489612e-08
AP1S2	6.725678309364747e-08
AP1S3	4.751774926414372e-08
AP2A1	1.1224310357607883e-07
AP2A2	6.581041611223698e-08
AP2B1	9.411673389016017e-08
AP2M1	1.3113740044012283e-07
AP2S1	1.1916982717815825e-07
AP3B1	1.051720803149545e-07
AP3B2	1.0085552207095472e-07
AP3D1	1.0871157656672928e-06
AP3M1	1.2413161536240876e-07
AP3S1	5.6226981711052e-08
AP3S2	8.809851265007509e-08
AP4B1	5.739991862966024e-08
AP4E1	8.308938864467678e-08
AP4M1	2.2645809694982149e-07
AP4S1	4.7931202877044826e-08
AP5B1	0.0
AP5M1	0.0
AP5S1	6.626375780317462e-06
AP5Z1	6.626375780317462e-06
APAF1	1.6751093154140118e-07
APBA1	1.4376680528527344e-07
APBA2	1.6339544464321584e-07
APBA3	2.203275001088816e-07
APBB1	1.2080500878144714e-07
APBB1IP	7.588717622226682e-08
APBB2	9.76510840360595e-08
APBB3	9.403176469605805e-08
APC	8.636133229924644e-08
APC2	6.304303275103922e-08
APCDD1	3.467939032874847e-08
APCS	2.8589658700469737e-07
APE1	1.0326581903264816e-07
APEH	2.403557419640561e-07
APEX1	1.1713680223843978e-07
APEX2	1.1417937158163054e-07
APH1A	5.0224964458702146e-08
APH1B	6.152337864824991e-08
API5	1.5534366110555654e-07
APIP	2.0191644115666534e-07
APLF	4.758072719717878e-07
APLN	2.1316129559373526e-08
APLNR	1.8418638911653602e-08
APLP1	2.0934775640023132e-07
APLP2	1.1146413943285259e-07
APMAP	2.8119352320701867e-09
APOA1	2.111164355569477e-07
APOA1BP	4.46533965511707e-08
APOA2	1.9900681147887625e-07
APOA4	7.293504390365782e-08
APOA5	1.0074310271354148e-07
APOB	1.2442995445103075e-07
APOBEC1	1.0185496178145944e-07
APOBEC2	6.540407245061973e-08
APOBEC3A	7.762185549129332e-08
APOBEC3B	3.358822276089578e-08
APOBEC3C	1.7189828676379814e-07
APOBEC3D	4.3529534904683476e-09
APOBEC3F	5.373825144094814e-08
APOBEC3G	1.012406513693935e-07
APOBEC3H	5.293871744645908e-08
APOBR	1.1558192850495718e-07
APOC1	9.831215221745332e-08
APOC2	8.596624175726873e-08
APOC3	9.432049017320858e-08
APOC4	9.203257712145796e-08
APOD	2.370435211054567e-07
APOE	9.289409300647454e-08
APOF	1.3489758398196796e-07
APOH	1.4887239210645698e-07
APOL1	1.1381025317137647e-07
APOL2	3.35638431221872e-08
APOL3	3.995038462755001e-08
APOL4	8.603169942586492e-08
APOL5	3.956934610967235e-08
APOM	1.881416337810927e-07
APOO	6.127455877984724e-09
APOOL	6.127455877984724e-09
APP	1.4977413340986625e-07
APPBP2	1.9630791269787604e-07
APPL1	1.0657673682081262e-07
APPL2	1.1979269798181336e-07
APRT	2.5084574258219434e-07
APTX	8.916182692367747e-08
AQP1	2.1840412667831712e-07
AQP2	3.912005655399591e-08
AQP3	1.7884928595354225e-07
AQP4	1.575972490202562e-07
AQP5	3.370848001912952e-07
AQP6	5.003204838964294e-09
AQP7	5.833276821183799e-08
AQR	3.2521234485804926e-08
AR	9.90738991657109e-08
ARAF	8.048024129294799e-08
ARAP1	1.2619085363884802e-07
ARAP2	4.612058258007448e-08
ARAP3	2.368022988288403e-08
ARC	2.2720466191086267e-07
ARCN1	5.016577910099017e-08
ARD1A	1.4072517571874545e-07
AREG	1.042760679440966e-07
AREL1	3.573568112922057e-08
ARF1	1.6141103148998569e-07
ARF3	1.3808745717990186e-07
ARF4	1.8538549625001074e-07
ARF5	6.684144269104344e-08
ARF6	1.233196391479543e-07
ARFGAP1	9.973230672304315e-08
ARFGAP2	3.16006748069576e-08
ARFGAP3	1.6714951815596683e-07
ARFGEF1	8.780143826001357e-08
ARFGEF2	1.850688614132404e-07
ARFIP1	1.4401950357241757e-07
ARFIP2	1.97087536599665e-07
ARFRP1	2.9400873965786085e-07
ARG1	6.354309862813261e-08
ARG2	2.136885982914391e-08
ARHGAP1	4.65458778599719e-08
ARHGAP10	3.7235591182674456e-08
ARHGAP11A	1.3693335172991292e-08
ARHGAP11B	1.0091881748122485e-08
ARHGAP12	1.8760766434343146e-08
ARHGAP15	6.951461128980429e-08
ARHGAP17	4.525107791827755e-08
ARHGAP18	1.5330236761099828e-07
ARHGAP19	4.922781263925088e-08
ARHGAP20	1.0091881748122485e-08
ARHGAP21	7.684986495535336e-08
ARHGAP22	1.508101048302847e-08
ARHGAP23	1.0091881748122485e-08
ARHGAP24	9.231583146651408e-08
ARHGAP25	3.119776065469724e-08
ARHGAP26	4.627095766541304e-08
ARHGAP27	2.3475793689504302e-08
ARHGAP28	1.0091881748122485e-08
ARHGAP29	1.6794824731441914e-07
ARHGAP30	1.1170559001693956e-08
ARHGAP31	1.1170559001693958e-08
ARHGAP32	1.9320401564866118e-08
